pro_id	gene_id	pro_name	gene_name
A0A1W2PQD8	ENSG00000284306	S72L2	SSU72L2
A0A1W2PQJ5	ENSG00000284546	S72L3	SSU72L3
A0A1W2PQL4	ENSG00000241149	ZN722	ZNF722
A0A1W2PQU2	ENSG00000232593	KANTR	KANTR
A0A1W2PR19	ENSG00000276950	GSTT4	GSTT4
A0A1W2PR48	ENSG00000260734	TLE7	TLE7
A0A1W2PR64	ENSG00000283988	TFKL9	TAF11L9
A0A1W2PR75	ENSG00000230268	S72L6	SSU72L6
A0A1W2PR82	ENSG00000284395	PERC1	PERCC1
A0A1W2PR95	ENSG00000266826	IGB1C	IGBP1C
A0A1W2PRP0	ENSG00000248767	FOXL3	FOXL3
A0A1W2PRV1	ENSG00000284439	TFKL3	TAF11L3
A0A1W2PS18	ENSG00000283758	PMIS2	PMIS2
A0A286YEV6	ENSG00000284631	SCGR4	SCYGR4
